Description,Account,Amount,DID,AID
OLIVE GARDEN  00012922 PROVO UT 07/28,Meals and Entertainment,32.1,243,539
OLIVE GARDEN  00012922 PROVO UT 08/14,Meals and Entertainment,43.43,243,539
OLIVE GARDEN  00012922 PROVO UT 08/23,Meals and Entertainment,50.52,243,539
OLIVE GARDEN  00012922 PROVO UT 09/23,Meals and Entertainment,44.27,243,539
OLIVE GARDEN  00012922 PROVO UT 10/30,Meals and Entertainment,32.37,243,539
OLIVE GARDEN  00012922 PROVO UT 11/11,Meals and Entertainment,27.08,243,539
OLIVE GARDEN #000178 AMERICAN FO RK UT        10/09,Meals and Entertainment,10.38,243,539
OMO FORD LOCKER PLA631 PROVO UT 182031  11/12,Gas,2.67,244,516
OMO MIKAROSE       971 OREM UT 210553  06/03,Clothing,53.41,245,525
OMO ZURCHERS SITE 1031 OREM UT 194432  02/14,Supplies,25.56,246,553
OPC*US TREASURY PMNT 925-855-500 0 NE         03/21 Personal Tax 2017,Personal Expenses,1941,247,572
OPC*US TREASURY SERV 925-855-500 0 NE         03/21,Taxes & Licenses,3.95,247,554
ORANGE JULIUS #61645 PROVO UT 09/20,Meals and Entertainment,4.95,248,539
ORANGE JULIUS #61697 OREM UT 12/13,Meals and Entertainment,4.95,248,539
ORDER.WISH.COM 8002660172 CA 01/03,Supplies,4,432,553
ORDER.WISH.COM 8002660172 CA 10/24,Supplies,7.8,432,553
OREM FLORAL & GIFT OREM UT 04/02,Supplies,40.66,250,553
OUT N BACK OREM UT 06/15,Meals and Entertainment,53.32,251,539
OUT N BACK OREM UT 06/21,Meals and Entertainment,149.27,251,539
OUT N BACK OREM UT 07/22,Meals and Entertainment,116.52,251,539
OUT N BACK OREM UT 09/26,Meals and Entertainment,27.09,251,539
"OVERDRAWN EFT FEE, $10.00 ON 02/08/21 FOR VENMO OVERDRAWN EFT FEE, $10.00 ON 02/",Bank Charges,25,252,522
"OVERDRAWN EFT FEE, $18.00 ON 12/06/21 FOR VENMO PAYMENT WE OVERDRAWN EFT FEE, $18.00 ON 12/",Bank Charges,25,252,522
"OVERDRAWN EFT FEE, $4.00 ON 12/06/21 FOR VENMO PAYMENT WE OVERDRAWN EFT FEE, $4.00 ON 12/0",Bank Charges,25,252,522
"OVERDRAWN EFT FEE, $50.00 ON 07/07/21 FOR VENMO PAYMENT WE OVERDRAWN EFT FEE, $50.00 ON 07/",Bank Charges,25,252,522
PANDA EXPRESS #896 OREM UT 09/15,Meals and Entertainment,16.96,253,539
PANDA EXPRESS 527 OREM UT 05/05,Meals and Entertainment,17.53,253,539
PANDA EXPRESS 749 DRAPER UT 08/26,Meals and Entertainment,14.94,253,539
PANDA EXPRESS 848 S JORDAN UT 08/10,Meals and Entertainment,17.77,253,539
PANDA-CONCOURSE A Q75 DENVER CO 08/04,Business Trip,10.58,254,524
PANERA BREAD #601260 NASHVILLE T N            07/29,Business Trip,11.35,255,524
PAPA JOHN'S #02394 406-533-1111 MT           08/05,Meals and Entertainment,16.98,256,539
PAPA JOHN'S #271 767 E DRAPER UT 134131  06/30,Meals and Entertainment,71.18,256,539
PAPA JOHN'S #360 12447 RIVERTON UT   630648  06/01,Meals and Entertainment,31.26,256,539
PAPA MURPHY'S UT019 OREM UT 06/18,Meals and Entertainment,2.68,257,539
PAPA MURPHY'S UT019 OREM UT 11/16,Meals and Entertainment,29.38,257,539
PAPA MURPHY'S UT059 OLO olo.com UT           03/06,Meals and Entertainment,23.56,257,539
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,21.36,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,32.03,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,74.77,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,21.36,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,21.36,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,21.36,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Advertising,21.36,258,513
PARAMOUNT ACCEPT VASAFIT PPD ID: 87-0366091,Dues & Subscriptions,21.36,258,529
PARAMOUNT ACCEPTANCE HOLLADAY UT 01/18,Gas,21.36,258,516
PASSION PLANNER HTTPSPASSIONP CA 01/02,Personal,24.5,259,541
PASSION PLANNER HTTPSPASSIONP CA 01/11,Personal,32,259,541
PASSION PLANNER HTTPSPASSIONP CA 03/25,Personal,31.31,259,541
PASSION PLANNER LLC 858-707-3515 CA          09/25,Personal,44.55,259,541
PAYLESS SHOESO00013235 OREM UT 12/13,Clothing,23.49,260,525
PAYLESS SHOESO00022293 OREM UT 06/25,Clothing,13.88,260,525
PAYLESS SHOESO00056879 PROVO UT 08/21,Clothing,21.36,260,525
PAYPAL *AHABLSCPR 402-935-7733 C A            12/03,Employee Benefits,25,261,530
PAYPAL *BTTNPOETRY 402-935-7733 CA           08/26,office expense,27.4,261,540
PAYPAL *DANYANGTIAN 402-935-7733 CA          03/17,office expense,17.94,261,540
PAYPAL *DAVE 402-935-7733 CA 02/07,office expense,20,261,540
PAYPAL *ILP**MCKEE 402-935-7733 UT           03/20,Charitable Contributions,20,261,567
PAYPAL *ILP**MCKEE 402-935-7733 UT           06/30,Charitable Contributions,30,261,567
PAYPAL *ILP**MCKEE 402-935-7733 UT           07/01,Charitable Contributions,30,261,567
PAYPAL *SIRENESBEAU 402-935-7733 CA          01/20,Eyelash,32.06,261,501
PAYPAL *SIRENESBEAU 402-935-7733 CA          02/16,Eye Lash,61.97,261,546
PAYPAL *SIRENESBEAU 402-935-7733 CA          03/13,Eye Lash,14.96,261,546
PEI WEI #0073      Q02 SANDY UT 10/23,Meals and Entertainment,18.31,262,539
PET URGENT CARE OREM UT 10/24,Personal Expenses,220.31,263,572
PETCO 491 OREM UT 311520  10/15,Personal Expenses,37.38,264,572
PETCO 491 OREM UT 337434  10/13,Personal Expenses,44.84,264,572
PETCO 491 OREM UT 532144  10/12,Personal Expenses,87.32,264,572
PETCO 491 OREM UT 789699  11/15,Personal Expenses,21.36,264,572
PETERSON'S FRESH MARKE RIVERTON UT   754039  07/11,Groceries,64.66,265,568
PETSMART # 0171 OREM UT 523207  10/04,Albus,48.25,266,514
PETSMART # 0171 OREM UT 669036  11/12,Albus,53.61,266,514
PHOTOAFFECTIONS.COM 877-248-8906 CA          01/10,Advertising,2.99,267,513
PICMONKEY LLC 206-486-2106 WA 01/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 01/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 01/07,Dues & Subscriptions,7.99,268,529
PICMONKEY LLC 206-486-2106 WA 02/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 02/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 02/07,Dues & Subscriptions,7.99,268,529
PICMONKEY LLC 206-486-2106 WA 03/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 03/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 04/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 04/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 05/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 05/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 06/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 06/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 07/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 07/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 08/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 08/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 09/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 09/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 10/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 10/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 11/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 11/07,Advertising,7.99,268,513
PICMONKEY LLC 206-486-2106 WA 12/05,Advertising,4.99,268,513
PICMONKEY LLC 206-486-2106 WA 12/07,Dues & Subscriptions,7.99,268,529
PINKBLUSH SHOPPINKBLUSH CA 12/01,Clothing,14.59,269,525
PIZZAREV 2 STUDIO CITY CA 10/18,Meals and Entertainment,19.55,270,539
PIZZERIA LIMONE 3 SANDY UT 07/06,Meals and Entertainment,29.61,271,539
PIZZERIA LIMONE DR DRAPER UT 08/09,Meals and Entertainment,21.35,271,539
PLAY IT AGAIN SPORTS OREM UT 12/15,Meals and Entertainment,51.28,272,539
POCO LOCO SLC Midvale UT 02/08,Clothing,27.76,273,525
"POINT OF SALE PURCHASE US UT LEHI, THANKSGIVING P 3003 N THANKSGIVIN POINT OF SALE PURCHASE US UT LEH",Meals and Entertainment,30,274,539
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,20.07,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,3.97,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 110 W CENTER ST POINT OF SALE PURCHASE US UT ORE",Gas,2.02,5,516
"POINT OF SALE PURCHASE US UT OREM, 7-ELEVEN 31 W 800 NORTH POINT OF SALE PURCHASE US UT ORE",Gas,2.14,5,516
"POINT OF SALE PURCHASE US UT OREM, CHEVRON/GAS N GO #14 POINT OF SALE PURCHASE US UT ORE",Gas,1.81,68,516
"POINT OF SALE PURCHASE US UT OREM, HOLIDAY OIL #15 290 W CENTER STREE POINT OF SALE PURCHASE US UT ORE",Gas,3.61,155,516
"POINT OF SALE PURCHASE US UT OREM, HOLIDAY OIL #15 290 W CENTER STREE POINT OF SALE PURCHASE US UT ORE",Gas,3.93,155,516
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F13504 1265 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,2.65,211,539
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F29589 1355 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,1.08,211,539
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F29589 1355 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,5.59,211,539
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F3334 15 N STATE POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,3.24,211,539
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F3334 15 N STATE POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,6.57,211,539
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F3334 15 N STATE POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,3.24,211,539
"POINT OF SALE PURCHASE US UT OREM, MCDONALD'S F3334 15 N STATE POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,2.65,211,539
"POINT OF SALE PURCHASE US UT OREM, MICHAELS STORE 321 E 1300 S ST POINT OF SALE PURCHASE US UT ORE",Supplies,26.7,215,553
"POINT OF SALE PURCHASE US UT OREM, SAVERS 1036 POINT OF SALE PURCHASE US UT ORE",Gas,3.17,306,516
"POINT OF SALE PURCHASE US UT OREM, SHELL SERVICE STATIO 032317090600 POINT OF SALE PURCHASE US UT ORE",Gas,21.57,274,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 S. STATE ST. POINT OF SALE PURCHASE US UT ORE",Gas,17.69,315,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 S. STATE ST. POINT OF SALE PURCHASE US UT ORE",Gas,17.24,315,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 S. STATE ST. POINT OF SALE PURCHASE US UT ORE",Gas,18.4,315,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 S. STATE ST. POINT OF SALE PURCHASE US UT ORE",Gas,17.94,315,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 S. STATE ST. POINT OF SALE PURCHASE US UT ORE",Gas,20.51,315,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 S. STATE ST. POINT OF SALE PURCHASE US UT ORE",Gas,21.51,315,516
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Meals and Entertainment,12.55,315,539
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",office expense,100.47,315,540
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Supplies,19.19,315,553
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Supplies,11.52,315,553
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Supplies,8.62,315,553
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Supplies,80.12,315,553
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Supplies,20.44,315,553
"POINT OF SALE PURCHASE US UT OREM, SMITHS 45 SOUTH STATE POINT OF SALE PURCHASE US UT ORE",Supplies,10.66,315,553
"POINT OF SALE PURCHASE US UT OREM, UVU BOOKSTORE POINT OF SALE PURCHASE US UT ORE",Gas,7.34,413,516
"POINT OF SALE PURCHASE US UT OREM, WALGREENS STOR 763 N STATE ST POINT OF SALE PURCHASE US UT ORE",Supplies,9.44,424,553
"POINT OF SALE PURCHASE US UT OREM, WALGREENS STOR 763 N STATE ST POINT OF SALE PURCHASE US UT ORE",Supplies,6.39,424,553
"POINT OF SALE PURCHASE US UT OREM, WALGREENS STOR 763 N STATE ST POINT OF SALE PURCHASE US UT ORE",Supplies,6.19,424,553
"POINT OF SALE PURCHASE US UT OREM, WALGREENS STORE 763 N S POINT OF SALE PURCHASE US UT ORE",office expense,8.32,424,540
"POINT OF SALE PURCHASE US UT OREM, WAL-MART #1768 1355 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Supplies,36.33,423,553
"POINT OF SALE PURCHASE US UT OREM, WAL-MART #1768 1355 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Supplies,32.36,423,553
"POINT OF SALE PURCHASE US UT OREM, WAL-MART #1768 1355 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Supplies,33.58,423,553
"POINT OF SALE PURCHASE US UT OREM, WAL-MART #1768 1355 S SANDHILL RD POINT OF SALE PURCHASE US UT ORE",Supplies,68.38,423,553
"POINT OF SALE PURCHASE US UT OREM, WAL-MART SUPER CENTE 1768 WAL-SAMS POINT OF SALE PURCHASE US UT ORE",Supplies,6.35,423,553
"POINT OF SALE PURCHASE US UT OREM, WM SUPERCENTER WAL-MART SUPER CEN POINT OF SALE PURCHASE US UT ORE",Supplies,84.07,423,553
"POINT OF SALE PURCHASE US UT OREM, ZURCHERS SITE 117 OR 340 E 800 S POINT OF SALE PURCHASE US UT ORE",Gas,22.83,246,516
"POINT OF SALE PURCHASE US UT PROVO, CHEVRON/WILL'S PIT STOP POINT OF SALE PURCHASE US UT PRO",Gas,32,68,516
"POINT OF SALE PURCHASE US UT PROVO, CHEVRON/WILL'S PIT STOP POINT OF SALE PURCHASE US UT PRO",Gas,4.12,68,516
"POINT OF SALE PURCHASE US UT PROVO, MAVERIK COUNTRY STOR 1410 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,10.14,210,539
"POINT OF SALE PURCHASE US UT PROVO, MAVERIK COUNTRY STOR 1410 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,8.88,210,539
"POINT OF SALE PURCHASE US UT PROVO, MAVERIK COUNTRY STOR 1410 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,3.86,210,539
"POINT OF SALE PURCHASE US UT PROVO, MAVERIK COUNTRY STOR 1410 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,11.05,210,539
"POINT OF SALE PURCHASE US UT PROVO, MAVERIK COUNTRY STOR 1410 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,8.08,210,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,4.2,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,7.49,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,5.76,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,7.92,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,6.84,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,4.47,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,4.31,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,4.58,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,6.63,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,7.38,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,4.2,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,8.51,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,2.48,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,3.23,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,7.7,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,3.23,211,539
"POINT OF SALE PURCHASE US UT PROVO, MCDONALD'S F11107 1225 S UNIVERSITY POINT OF SALE PURCHASE US UT PRO",Meals and Entertainment,8.08,211,539
POSHMARK 650-488-7740 CA 07/27,Clothing,19.66,275,525
POST MART OREM OREM UT 03/01,Freight & delivery - COS,5.63,275,504
POSTMATES C6763 CAFE HTTPSPOSTMA TE CA        06/16,Meals and Entertainment,15.17,276,539
POSTMATES C6763 CAFE HTTPSPOSTMA TE CA        12/28,Clothing,19.38,276,525
POSTMATES C6763 CHIPOT 877887781 5 CA         05/24,Meals and Entertainment,13.52,276,539
POSTMATES C6763 RED RO 877887781 5 CA         06/01,Meals and Entertainment,54.3,276,539
POTBELLY #409 SOUTH JORDAN UT 12/27,Meals and Entertainment,10.81,277,539
PRETZEL - HOLLYWOOD ANAHEIM CA 08/13,Meals and Entertainment,5.25,278,539
PRETZELMAKER OREM UT 08/03,Meals and Entertainment,6.8,279,539
PRETZELMAKER OREM UT 09/27,Meals and Entertainment,7,279,539
PRETZELMAKER OREM UT 10/02,Meals and Entertainment,6.17,279,539
PRETZELMAKER OREM UT 11/05,Meals and Entertainment,8.71,279,539
PRETZELMAKER OREM UT 12/10,Meals and Entertainment,6.99,279,539
PRETZELMAKER PROVO UT 09/02,Meals and Entertainment,7.1,279,539
PRETZELMAKER PROVO UT 09/12,Meals and Entertainment,5.17,279,539
PRETZELMAKER SANDY UT 03/14,Meals and Entertainment,5.38,279,539
Prime Video*AH6HO5XL3 888-802-30 80 WA        11/11,Dues & Subscriptions,4.28,280,529
Prime Video*F02AY6DD3 888-802-30 80 WA        11/07,Dues & Subscriptions,4.28,280,529
Prime Video*F85DG1QD3 888-802-30 80 WA        12/04,Dues & Subscriptions,3.21,280,529
Prime Video*GV4LR2EB3 888-802-30 80 WA        09/07,Dues & Subscriptions,3.21,280,529
Prime Video*JU4SA3OQ3 888-802-30 80 WA        11/14,Entertainment,3.21,280,531
Prime Video*LC3E95FW3 888-802-30 80 WA        11/07,Dues & Subscriptions,4.28,280,529
Prime Video*M22YU48E2 888-802-30 80 WA        12/30,Dues & Subscriptions,4.26,280,529
Prime Video*M89GX20I2 888-802-30 80 WA        10/29,Dues & Subscriptions,4.26,280,529
Prime Video*MB0MI5OT0 888-802-30 80 WA        01/03,Dues & Subscriptions,4.26,280,529
Prime Video*MH5K88KG0 888-802-30 80 WA        07/22,Dues & Subscriptions,4.28,280,529
Prime Video*MH9X36771 888-802-30 80 WA        07/16,Dues & Subscriptions,5.35,280,529
Prime Video*MI6BU2KF0 888-802-30 80 WA        03/03,Dues & Subscriptions,4.26,280,529
Prime Video*MI9AW1PV1 888-802-30 80 WA        02/18,Dues & Subscriptions,4.26,280,529
Prime Video*MO9223OJ0 888-802-30 80 WA        08/24,Dues & Subscriptions,4.28,280,529
Prime Video*MT6TM0OQ0 888-802-30 80 WA        09/16,Meals and Entertainment,5.33,280,539
Prime Video*PI85D38V3 888-802-30 80 WA        09/08,Dues & Subscriptions,6.42,280,529
PROTEINFOUNDRY_2 MIDVALE UT 01/08,Meals and Entertainment,13.88,281,539
PROVO GROUP 801-4045585 UT 03/21,Employee Benefits,128.02,282,530
PUBLIX SUPER MAR 2429 KNOXVILLE TN   235978  08/03,Business Trip,49.29,283,524
RACHEL'S SALON MEMPHIS TN 07/27,Business Trip,37,284,524
Ready Gunner Coffee Orem UT 08/13,Meals and Entertainment,8.27,285,539
RED ROBIN 416 PROVO UT 09/08,Meals and Entertainment,42.28,286,539
REDBOX *DVD RENTAL 866-733-2693 IL           08/14,Meals and Entertainment,9.62,287,539
REDBOX *DVD RENTAL OAKBROOK TER IL           07/23,Meals and Entertainment,1.6,287,539
REDBOX *DVD RENTAL OAKBROOK TER IL           09/09,Meals and Entertainment,2.14,287,539
RELIK SALON OREM UT 10/07,Personal,60,288,541
RELIK SALON OREM UT 11/04,Personal,150,288,541
RGO RESUMES*RGO RESUM 866-936-49 04           06/28,Advertising,1,289,513
RIBBONWOOD ANIMAL HOSPI OREM UT 11/10,Personal Expenses,62,290,572
RIDLEY'S FAMILY MARKET OREM UT 498914  10/30,Eyelash,8.43,291,501
RIDLEY'S FAMILY MARKET OREM UT 631169  03/14,Eyelash,25.09,291,501
RIDLEY'S FAMILY MARKET OREM UT 788785  03/19,Eyelash,26.35,291,501
RIDLEY'S FAMILY MARKET OREM UT 924692  01/18,Eye Lash,16.86,291,546
RIVERWOODS PET HOSPITAL PROVO UT 04/13,Personal Expenses,103.44,292,572
ROCKY MOUNTAIN POWER 888-221-707 0 OR         01/30,Utilities,24.04,293,560
ROCKY MOUNTAIN POWER 888-221-707 0 OR         09/27,Utilities,27.49,293,560
ROCKY MOUNTAIN POWER 888-221-707 0 OR         10/28,Utilities,26.18,293,560
ROCKY MOUNTAIN POWER 888-221-707 0 OR         11/28,Utilities,40.96,293,560
ROCKY MOUNTAIN POWER 888-221-707 0 OR         12/27,Utilities,26.29,293,560
ROCKYMTN/PACIFIC POWER BILL 0008 17881ACHPAY WEB ID: 1930246090,Utilities,24.86,294,560
ROCKYMTN/PACIFIC POWER BILL 0120 31611ACHPAY WEB ID: 1930246090,Utilities,61.43,294,560
ROCKYMTN/PACIFIC POWER BILL 0959 72652ACHPAY WEB ID: 1930246090,Utilities,25.03,294,560
ROCKYMTN/PACIFIC POWER BILL 1247 25802ACHPAY WEB ID: 1930246090,Utilities,142.05,294,560
ROCKYMTN/PACIFIC POWER BILL 1668 56801ACHPAY WEB ID: 1930246090,Utilities,23.56,294,560
ROCKYMTN/PACIFIC POWER BILL 2356 48111ACHPAY WEB ID: 1930246090,Utilities,77.93,294,560
ROCKYMTN/PACIFIC POWER BILL 2860 92393ACHPAY WEB ID: 1930246090,Utilities,22.88,294,560
ROCKYMTN/PACIFIC POWER BILL 3616 28521ACHPAY WEB ID: 1930246090,Utilities,46.25,294,560
ROCKYMTN/PACIFIC POWER BILL 3814 53611ACHPAY WEB ID: 1930246090,Utilities,30.56,294,560
ROCKYMTN/PACIFIC POWER BILL 3908 45712ACHPAY WEB ID: 1930246090,Utilities,61.89,294,560
ROCKYMTN/PACIFIC POWER BILL 4267 80002ACHPAY WEB ID: 1930246090,Utilities,29.23,294,560
ROCKYMTN/PACIFIC POWER BILL 4373 08431ACHPAY WEB ID: 1930246090,Utilities,24.1,294,560
ROCKYMTN/PACIFIC POWER BILL 4685 80719ACHPAY WEB ID: 1930246090,Utilities,53.64,294,560
ROCKYMTN/PACIFIC POWER BILL 5561 91792ACHPAY WEB ID: 1930246090,Utilities,23.73,294,560
ROCKYMTN/PACIFIC POWER BILL 6173 08851ACHPAY WEB ID: 1930246090,Utilities,23.43,294,560
ROCKYMTN/PACIFIC POWER BILL 6391 57131ACHPAY WEB ID: 1930246090,Utilities,8.77,294,560
ROCKYMTN/PACIFIC POWER BILL 6715 41662ACHPAY WEB ID: 1930246090,Utilities,23.98,294,560
ROCKYMTN/PACIFIC POWER BILL 8227 34712ACHPAY WEB ID: 1930246090,Utilities,23.51,294,560
ROCKYMTN/PACIFIC POWER BILL 9855 23462ACHPAY WEB ID: 1930246090,Utilities,24.49,294,560
